id;code;longitude;latitude;from_date;to_date;state
1;amidst mechanically successfully;2059.38;2733.97;2024-01-25;2024-01-24;RESERVED
2;as mother;18960.93;19482.86;2024-01-25;2024-01-25;RETURNED
3;wildly;10702.35;24364.26;2024-01-24;2024-01-24;RETURNED
4;till;9145.8;20886.46;2024-01-25;2024-01-24;RETURNED
5;oof yuck;23476.01;22275.35;2024-01-25;2024-01-25;PICKUP
6;weighty;23094.64;19608.58;2024-01-25;2024-01-25;RETURNED
7;tomorrow after arid;5920.45;17874.15;2024-01-24;2024-01-25;PICKUP
8;romance steep;16856.52;24387.7;2024-01-25;2024-01-25;RESERVED
9;via before;18418.18;23261.79;2024-01-25;2024-01-24;ACTIVE
10;graft headlight fooey;13463.81;7224.03;2024-01-24;2024-01-25;RESERVED
